id,class,valid,name,n,ms,sorted_ms,product,log2_product,L,kappa_mov,kappa_tot,H_pos_sum,H_pos_avg,H_mover,H_joint,coverage,L_over_n,L_over_n2,kappa_mov_over_L,kappa_mov_over_nL,Hpos_over_log2prod,Hpos_over_nlog23
20,sub,False,,6,"[2,2,2,2,6,2]","[2,2,2,2,2,6]",192,7.584962500721156,20,20,56,6.896114,1.149352,2.370951,5.226484,0.104167,3.3333,0.5556,1.0,0.1667,0.9092,0.7252
21,sub,False,,6,"[2,2,2,5,2,2]","[2,2,2,2,2,5]",160,7.321928094887363,20,20,56,6.936044,1.156007,2.370951,5.28423,0.125,3.3333,0.5556,1.0,0.1667,0.9473,0.7294
22,sub,False,,6,"[2,2,3,3,3,2]","[2,2,2,3,3,3]",216,7.754887502163468,22,22,62,7.125024,1.187504,2.494919,5.430367,0.101852,3.6667,0.6111,1.0,0.1667,0.9188,0.7492
23,sub,False,,6,"[2,3,3,2,3,2]","[2,2,2,3,3,3]",216,7.754887502163468,22,22,61,6.700533,1.116755,2.533771,5.444466,0.101852,3.6667,0.6111,1.0,0.1667,0.864,0.7046
24,sub,False,,6,"[2,5,2,3,2,2]","[2,2,2,2,3,5]",240,7.906890595608519,21,21,59,7.113226,1.185538,2.403058,5.340081,0.0875,3.5,0.5833,1.0,0.1667,0.8996,0.748
25,sub,False,,6,"[3,2,2,4,2,2]","[2,2,2,2,3,4]",192,7.584962500721156,17,17,49,6.853162,1.142194,2.513646,5.1519,0.088542,2.8333,0.4722,1.0,0.1667,0.9035,0.7206
26,sub,False,,7,"[2,2,2,2,2,2,2]","[2,2,2,2,2,2,2]",128,7.0,14,14,42,7.0,1.0,2.807355,4.95619,0.109375,2.0,0.2857,1.0,0.1429,1.0,0.6309
27,sub,False,,7,"[2,3,2,2,5,2,3]","[2,2,2,2,3,3,5]",720,9.491853096329674,17,17,51,7.700285,1.100041,2.74894,5.123799,0.023611,2.4286,0.3469,1.0,0.1429,0.8113,0.694
28,sub,False,,7,"[2,4,2,3,2,2,3]","[2,2,2,2,3,3,4]",576,9.169925001442312,17,17,51,7.6802,1.097171,2.74894,5.120031,0.029514,2.4286,0.3469,1.0,0.1429,0.8375,0.6922
29,sub,False,,7,"[3,2,2,2,2,3,4]","[2,2,2,2,3,3,4]",576,9.169925001442312,16,16,48,7.532264,1.076038,2.780639,5.077569,0.027778,2.2857,0.3265,1.0,0.1429,0.8214,0.6789
30,sub,False,,8,"[2,2,2,2,2,2,2,2]","[2,2,2,2,2,2,2,2]",256,8.0,16,16,48,8.0,1.0,3.0,5.061278,0.0625,2.0,0.25,1.0,0.125,1.0,0.6309
31,sub,False,,8,"[2,2,2,2,2,2,2,3]","[2,2,2,2,2,2,2,3]",384,8.584962500721156,16,16,48,8.0,1.0,3.0,5.061278,0.041667,2.0,0.25,1.0,0.125,0.9319,0.6309
